Kuinka monta nahkiaista on kerpussa?,31
Mikä tauti tai sairaus aiheutti eniten ihmiskuolemia vuonna 2015 maailman terveysjärjestön WHO:n mukaan?,	Sepelvaltimotauti
Mikä on Hervannan keskusakselin suunnitelleen pariskunnan sukunimi? ,Pietilä
Mikä eläin oli maailman ensimmäinen kloonattu eläin Dolly?,Lammas
Mikä on Frederikin oikea nimi?,Ilkka Sysimetsä
Minkä kolmivarpaisen nisäkkään latinankielinen nimi on Bradypus?,Laiskiainen
Mihin tarkoitukseen kiniiniä sisältävä tonic-vesi alun perin kehitettiin?,Malarialääkkeeksi
Mistä VHS on lyhenne?,Video Home System
Mistä Italian kaupungista parmesan-juuston on kotoisin?,Parmasta
Mikä eläin Puuha-Petellä on lemmikkinä?,Kissa
Kuinka monta aikavyöhykettä Kiinassa on?,Yksi
Mitkä vitamiinit ovat vesiliukoisia?,B- ja C-vitamiinit
"Mikä on raskain alkuaine, jota syntyy tähtien ydinsynteesissä?",Rauta
Kuka on eniten Oscar-palkintoja voittanut henkilö?,Walt Disney (22)
Mikä oli ensimmäinen Walt Disney Pictures- elokuva?,Lumikki ja 7 kääpiötä
Kuka suomalainen on voittanut nobelin kirjallisuuspalkinnon?,Frans Emil Sillanpää
"Minkä niminen patsas sijaitsee Brysselin vanhassa keskustassa, jossa pronssinen poika pissaa?","Manneken pis (manneke pis, petit julien)"
Mamilla on kaikilla ihmisillä. Mikä se on?,Nänni
Kenen kirjoittama on tarina Ronja Ryövärin tytär?,Astrid Lindgren
Minkä päällä oscar-paptsas seisoo?,Filmirullan
Vanhat egyptiläiset pitävät tätä meillekin tuttua lemmikkieläintä jumalallisena. Mikä eläin on kyseessä?,Kissa
Kuka hollantilainen suuri taiteilija maalasi itsestään 64 muotokuvaa?,Rembrandt
Mitä kultakalalle tapahtuu juoksevassa vedessä?,Se menettää värinsä
Raamatun mukaan millä Jeesus ruokki 5000 ihmistä Gennesaretin järven rannalla?,5 leivällä ja 2 kalalla
"Missä maassa sijaitsee Petra, historiallinen rauniokaupunki, joka lukeutuu myös uusiin seitsemään ihmeseen?",Jordaniassa
Miksi kutsutaan kahden sävelen välistä korkeuseroa?,Intervalli
Mitä planeettaa kiertää Io-niminen kuu?,Jupiteria
Kuka seuraavista ei ole ollut miss suomi? A) Vanessa Kurri B) Lola Odusoga C) Armi Kuusela D) Sara Sieppi,c
Kuka on Sepe Suden poika?,Pikku Hukka
Kuka kehitti pikkumustan?,Coco Chanel
Minkä maalainen ohjelma Big Brother on alunperin?,Alankomaalainen
Millä kuninkaalla normaalissa perinteisessä pelikorttipakassa ei ole viiksiä?,herttakuningas
"Kenen taiteilijan veistos on ""the thinker""",auguste rodin
Kim il sun ja kim jong il johtivat molemmat pohjois-koreaa aikanaan. Kuka hallitsee maata tällä hetkellä?,Kim Jong-un
"Mitä tarkoitetaan kun mennään ""sivakoimaan""?",Mennään hiihtämään
"Contra on 1987 julkaistu videopeli, jota jo aikanaan pidettiin tasoltaan kovin vaikeana. Pelin sisään kuidenkin jätettiin koodi, joka antaa pelaajalle alussa 3 elämän sijaan 30 elämää, jotta pelin läpipääseminen helpotuisi. Näppäilemällä ylös,ylös, alas,alas, vasen,oikea,vasen,oikea,b,a, sait nämä elämät käyttöösi. Nykyään kyseinen koodi esiintyy myös muissa peleissä ja kenties maailman tunnetuon huijauskoodi. Mikä on tämän koodin nimi?",Konami koodi
Mitä tekee manikyyri?,Hoitaa käsiä ja kynsiä
Mainitse kaksi 2 tai enemmän nobel palkintoa voittanutta henkilöä/järjestöä.,"marie curie, john bardeen, punainen risti, linus pauling, frederick sanger, Yhdistyneiden kansakuntien pakolaisjärjestö"
